covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
years_to_birth,0.0673197890451659,1.0696374818361636,0.007215916460099597,0.05317685266792094,0.08146272542241087,1.0546161403058298,1.0848727786557701,0.0,9.32934706456354,1.0652509985929893e-20,66.34736849381198
gender,0.030892135136932362,1.0313742488442526,0.17224094510710897,-0.30669391393614165,0.36847818421000633,0.7358758077686427,1.4455331048380937,0.0,0.17935418966565655,0.8576595994092322,0.22152293164702727
radiation_therapy,0.35877014327063755,1.4315677082796676,0.20274973824846837,-0.038612041571283506,0.7561523281125586,0.9621239008270523,2.1300646430542103,0.0,1.7695221033083026,0.07680678547891501,3.702622418615431
race,0.319289935131997,1.3761502613780758,0.34439032406086534,-0.3557026966513771,0.9942825669153711,0.7006809040510709,2.70278457846043,0.0,0.9271164513773266,0.3538660753708086,1.4987246355832913
histological_type_astrocytoma,0.4890269224206269,1.6307286221924595,0.22039391192461158,0.05706279263649544,0.9209910522047584,1.0587222882721148,2.511778460409842,0.0,2.21887672917165,0.026495112085880835,5.238129959151265
histological_type_oligodendroglioma,-0.26744688016022766,0.7653309838023032,0.24490811255038564,-0.7474579602806655,0.2125641999602102,0.4735688547825034,1.2368455164493686,0.0,-1.092029485569634,0.27482014125950716,1.8634403533573343
MUC16,-3.0438639947177104,0.047650412372709235,1.0505409091043032,-5.102886340848111,-0.9848416485873095,0.006079174648333425,0.37349836624807353,0.0,-2.897425477045844,0.0037623911324275025,8.054134447634743
NOTCH1,0.40204300183810526,1.4948756136930594,0.3208694883867198,-0.22684963913765865,1.0309356428138692,0.7970406169951817,2.8036878582659615,0.0,1.2529798450438925,0.21021304176699157,2.250075916981686
NF1,1.7019611989697874,5.484693425823651,0.2923242084372683,1.1290162786235616,2.274906119316013,3.0926127340057823,9.727005791736783,0.0,5.822169871145044,5.808846260636951e-09,27.359101206594932
FUBP1,0.4100113016783162,1.5068348147789736,0.43867124986018824,-0.44976854910082403,1.2697911524574563,0.6377757483108404,3.5601089647004867,0.0,0.9346664542273823,0.3499602199281665,1.5147371550412847
IDH1,-0.7823474790064924,0.45733117488878405,0.3354549860863229,-1.4398271701700702,-0.12486778784291452,0.23696871040509815,0.8826135871170943,0.0,-2.332198093502686,0.019690272432612517,5.666373117414891
TP53,0.002741849382166405,1.0027456116889573,0.36874510561026214,-0.719985277089366,0.7254689758536987,0.4867594224226925,2.0656996360890276,0.0,0.007435622440679521,0.9940672863231275,0.008584586802752453
TTN,0.15128938398810038,1.1633332593940495,0.36825696155606125,-0.5704809977179308,0.8730597656941317,0.5652534876632479,2.394225426201427,0.0,0.410825591317624,0.6812004265894087,0.5538487564090283
ATRX,0.9024966955914059,2.4657516637393355,0.3519827665646678,0.21262314994588782,1.592370241236924,1.2369184306239724,4.915385781879114,0.0,2.564036598722498,0.010346263421781682,6.594746360812274
CIC,0.018714777372072923,1.0188909964015191,0.3685507425191798,-0.7036314044410142,0.7410609591851601,0.494785272013674,2.0981603965758104,0.0,0.05077937774361962,0.9595013238498532,0.05964329794007782
