"Genes","Correlation"
"ADAM18",-0.219169719169719
"ADAM19",0.755799755799756
"ADAM20",0.796092796092796
"ADAM21",0.525641025641026
"ADAM22",0.394383394383394
"ADAM23",0.783882783882784
"ADAM28",0.855311355311355
"ADAM29",0.61050061050061
"ADAM2",0.200854700854701
"ADAM30",0.0549450549450549
"ADAM32",0.177655677655678
"ADAM33",0.326007326007326
"ADAM5P",0.0372405372405372
"ADAM7",0.154456654456654
"ADAM8",0.945054945054945
"ADAM9",0.847374847374847
"ADAMDEC1",0.909035409035409
"ADAMTS10",0.5
"ADAMTS12",0.82051282051282
"ADAMTS13",0.905372405372405
"ADAMTS14",0.431623931623932
"ADAMTS15",0.353479853479853
"ADAMTS16",0.568376068376068
"ADAMTS17",0.268009768009768
"ADAMTS18",0.829059829059829
"ADAMTS19",0.867521367521367
"ADAMTS1",0.855311355311355
"ADAMTS20",0.578754578754579
"ADAMTS2",0.623321123321123
"ADAMTS3",0.668498168498168
"ADAMTS4",0.919413919413919
"ADAMTS5",0.721001221001221
"ADAMTS6",0.815018315018315
"ADAMTS7",0.195360195360195
"ADAMTS8",0.741758241758242
"ADAMTS9",0.902319902319902
"ADAMTSL1",0.673992673992674
"ADAMTSL2",0.804639804639805
"ADAMTSL3",0.828449328449328
"ADAMTSL4",0.184371184371184
"ADAMTSL5",0.457264957264957
"ADARB1",0.871794871794872
"ADARB2",0.897435897435897
"ADAR",0.650793650793651
"ADAT1",0.583638583638584
"ADAT2",0.918192918192918
"ADAT3",0.288156288156288
"ADA",0.982295482295482
"ADCK1",0.846764346764347
"ADCK2",0.829059829059829
"ADCK4",0.81990231990232
"ADCK5",0.863858363858364
"ADCY1",0.45970695970696
"ADCY2",0.843711843711844
"ADCY3",0.681318681318681
"ADCY4",0.650793650793651
"ADCY5",0.615995115995116
"ADCY6",-0.0451770451770452
"ADCY7",0.754578754578755
"ADCY8",0.957875457875458
"ADCY9",0.36996336996337
"ADCYAP1R1",0.735042735042735
"ADCYAP1",0.944444444444444
"ADC",0.913919413919414
"ADD1",0.634920634920635
"ADD2",0.670940170940171
"ADD3",0.927960927960928
"ADH1A",0.10989010989011
"ADH1B",0.512210012210012
"ADH1C",0.156288156288156
"ADH4",0.0842490842490842
"ADH5",0.857142857142857
"ADH6",0.298534798534798
"ADH7",0.413308913308913
"ADHFE1",0.926739926739927
"ADI1",0.866910866910867
"ADIG",0.244200244200244
"ADIPOQ",-0.0647130647130647
"ADIPOR1",0.594627594627595
"ADIPOR2",0.827228327228327
"ADK",0.892551892551892
"ADM2",-0.0543345543345543
"ADM",0.963980463980464
"ADNP2",0.918192918192918
"ADNP",0.771062271062271
"ADORA1",0.882783882783883
"ADORA2A",0.728937728937729
"ADORA2B",0.799145299145299
"ADORA3",0.774114774114774
"ADPGK",0.862637362637363
"ADPRHL1",0.90964590964591
"ADPRHL2",0.85042735042735
"ADPRH",0.693528693528694
"ADRA1A",0.368742368742369
"ADRA1B",0.946275946275946
"ADRA1D",-0.0354090354090354
"ADRA2A",0.945054945054945
"ADRA2B",0.822344322344322
"ADRA2C",0.962148962148962
"ADRB1",0.715506715506716
"ADRB2",0.957875457875458
"ADRB3",-0.153235653235653
"ADRBK1",0.252136752136752
"ADRBK2",0.678876678876679
"ADRM1",0.754578754578755
"ADSL",0.764957264957265
"ADSSL1",0.959096459096459
"ADSS",0.528083028083028
"AEBP1",0.98962148962149
"AEBP2",0.609279609279609
"AES",0.805860805860806
"AFAP1L1",0.881562881562882
"AFAP1L2",0.92002442002442
"AFAP1",0.84004884004884
"AFF1",0.363247863247863
"AFF2",0.796703296703297
"AFF3",0.768620268620268
"AFF4",0.526862026862027
"AFG3L1",0.86019536019536
"AFG3L2",0.744810744810745
"AFMID",0.663614163614163
"AFM",-0.0695970695970696
"AFP",-0.0677655677655678
"AFTPH",0.460927960927961
"AGA",0.880952380952381
"AGBL2",0.786935286935287
"AGBL3",0.225274725274725
"AGBL5",0.826007326007326
"AGER",0.865689865689866
"AGGF1",0.463369963369963
"AGK",0.719169719169719
"AGL",0.716117216117216
"AGMAT",0.899267399267399
"AGPAT1",0.368742368742369
"AGPAT2",0.869352869352869
"AGPAT3",0.71978021978022
"AGPAT4",0.844322344322344
"AGPAT5",0.519536019536019
"AGPAT6",0.667887667887668
"AGPS",0.402319902319902
"AGR2",0.196581196581197
"AGR3",0.195360195360195
"AGRN",0.813797313797314
"AGRP",0.0177045177045177
"AGTPBP1",0.692918192918193
"AGTR1",0.637362637362637
"AGTR2",-0.0231990231990232
"AGTRAP",0.943833943833944
"AGT",0.97008547008547
"AGXT2L1",0.95970695970696
"AGXT2L2",0.86019536019536
"AGXT2",0.469474969474969
"AGXT",0.0927960927960928
"AHCTF1",0.724664224664225
"AHCYL1",0.964590964590964
"AHCY",0.736263736263736
"AHDC1",-0.178266178266178
"AHI1",0.827838827838828
"AHNAK2",0.822954822954823
"AHNAK",0.825396825396825
"AHRR",0.904151404151404
"AHR",0.901709401709402
"AHSA1",0.664835164835165
"AHSA2",0.79059829059829
"AHSG",0.506715506715507
"AICDA",-0.366300366300366
"AIF1",0.954212454212454
"AIFM1",0.828449328449328
"AIFM2",0.839438339438339
"AIFM3",0.940781440781441
"AIG1",0.914529914529914
"AIM1L",0.275946275946276
"AIM1",0.804029304029304
"AIM2",0.826007326007326
"AIPL1",-0.0885225885225885
"AIP",0.846764346764347
"AIRE",0.197802197802198
"AJAP1",0.894993894993895
"AK1",0.686202686202686
"AK2",0.783272283272283
"AK3L1",0.821123321123321
"AK3",0.760683760683761
"AK5",0.943833943833944
"AK7",0.351037851037851
"AKAP10",0.354700854700855
"AKAP11",0.648962148962149
"AKAP12",0.868742368742369
"AKAP13",0.594017094017094
"AKAP14",0.614163614163614
"AKAP1",0.703296703296703
"AKAP3",0.816849816849817
"AKAP4",0.147130647130647
"AKAP5",0.355921855921856
"AKAP6",0.541514041514041
"AKAP7",0.816239316239316
"AKAP8L",0.623321123321123
"AKAP8",0.706349206349206
"AKAP9",0.474969474969475
"AKNA",0.44993894993895
"AKR1A1",0.85042735042735
"AKR1B10",0.827228327228327
"AKR1B1",0.771062271062271
"AKR1C1",0.948107448107448
"AKR1C3",0.98046398046398
"AKR1C4",0.506105006105006
"AKR1CL1",-0.415140415140415
"AKR1D1",0.432844932844933
"AKR7A2",0.883394383394383
"AKR7A3",0.105616605616606
"AKT1S1",0.760683760683761
"AKT1",0.517704517704518
"AKT2",0.735042735042735
"AKT3",0.421855921855922
"AKTIP",0.532967032967033
"ALAD",0.84981684981685
"ALAS1",0.724664224664225
"ALAS2",0.805860805860806
"ALB",0.497557997557998
"ALCAM",0.794261294261294
"ALDH16A1",0.626373626373626
"ALDH18A1",0.815628815628816
"ALDH1A1",0.968253968253968
"ALDH1A2",0.533577533577533
"ALDH1A3",0.877289377289377
"ALDH1B1",0.542735042735043
"ALDH1L1",0.910866910866911
"ALDH2",0.946275946275946
"ALDH3A1",0.702686202686203
"ALDH3A2",0.724053724053724
"ALDH3B1",0.788156288156288
"ALDH3B2",0.202686202686203
"ALDH4A1",0.942612942612943
"ALDH5A1",0.786324786324786
