covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
years_to_birth,0.06784102596173709,1.070195161708087,0.007256630514903877,0.053618291503411145,0.08206376042006304,1.0550817915974158,1.0855250211543916,0.0,9.348832880825782,8.862018718158844e-21,66.61285461857915
gender,0.051344959126683916,1.0526859642881885,0.17189599568093983,-0.28556500149461084,0.38825491974797866,0.7515894851506311,1.4744055914875687,0.0,0.2986978197094625,0.7651706207720206,0.38614661336251854
radiation_therapy,0.2883712896791363,1.3342526063894977,0.20108928703414705,-0.10575647058462923,0.6824990499429018,0.8996437111077032,1.9788167200826938,0.0,1.4340460097716088,0.15155913348345623,2.722047298296368
race,0.2891552591952488,1.3352990298881677,0.34421401801260887,-0.38549181908328595,0.9638023374737836,0.6801160598787233,2.621645928399672,0.0,0.8400449838293825,0.40088316512111355,1.3187462613504093
histological_type_astrocytoma,0.5255837158241119,1.6914458840050315,0.22091062054657826,0.09260685575042443,0.9585605758977993,1.097030359299779,2.607939838915394,0.0,2.3791690708382864,0.017351715363214924,5.8487778973645765
histological_type_oligodendroglioma,-0.2924576847322533,0.7464268296187706,0.2474276431662216,-0.7774069541176757,0.19249158465316907,0.4595962215933113,1.2122663020231357,0.0,-1.1819927676220905,0.2372085705906184,2.0757719580000544
MUC16,-3.0520416140920377,0.04726233437703763,1.0508795603855108,-5.111727704536923,-0.9923555236471517,0.006025663359303305,0.37070246337578006,0.0,-2.9042734573431126,0.003681064921624967,8.085661090419483
NOTCH1,0.1114833969161906,1.1179351826799122,0.3199894790102062,-0.5156844573755491,0.7386512512079303,0.5970917708565362,2.0931105295267156,0.0,0.3483970699944006,0.7275420026671505,0.45889755437109303
PIK3CA,0.5897552400596605,1.8035469253326761,0.370292133092287,-0.13600400455973427,1.3155144846790554,0.8728391371452576,3.726667805611497,0.0,1.592675585988421,0.11123298719472738,3.1683433985089686
NF1,1.8850741941964493,6.5868431294190835,0.28302141986773005,1.3303624044023095,2.439785983990589,3.7824139026631105,11.470585591129504,0.0,6.660535429005472,2.7283178604905218e-11,35.093197309575096
FUBP1,-0.08678370535386738,0.9168753894253399,0.39210098461392456,-0.8552875134998534,0.6817201027921187,0.42516093399970023,1.9772759266129123,0.0,-0.22132998579260763,0.824835503596767,0.277821662568565
TP53,-0.49510482534718214,0.6095070121632931,0.31655124371974613,-1.1155338622992454,0.12532421160488127,0.3277402640159183,1.1335158925062103,0.0,-1.5640590115182607,0.1178037106345799,3.085543112342117
TTN,0.21528643115091112,1.2402170829019106,0.35983288653461887,-0.4899730669100297,0.9205459292118519,0.6126428943284078,2.5106606588620677,0.0,0.598295595558909,0.5496427149432817,0.8634339687476643
ATRX,0.7274113309337259,2.0697158574723176,0.329961985776938,0.08069772254360985,1.374124939323842,1.0840431652257563,3.9516173046303638,0.0,2.2045307104724268,0.027487042628023747,5.185104496288724
CIC,-0.3944393593237219,0.6740578375763263,0.32625733238853116,-1.0338919804973563,0.2450132618499124,0.35562019682042534,1.2776382569393396,0.0,-1.2089823589129167,0.22666962288583903,2.1413370335326234
